"id","name","type","is_international_flight","city","country_id/id","code","icao","latitude","longitude","altitude","timezone_hour","daylight_saving_times","tz"
"tt_airport_5009","Grant County Airport","airport","TRUE","Silver City","base.us","SVC","SVC",32.6365,-108.156,5446,-7,"A","America/Denver"
"tt_airport_5010","Lopez Island Airport","airport","TRUE","Lopez","base.us","LPS","S31",48.4839,-122.938,209,-8,"A","America/Los_Angeles"
"tt_airport_5298","Worcester Regional Airport","airport","TRUE","Worcester","base.us","ORH","KORH",42.2673,-71.8757,1009,-5,"A","America/New_York"
"tt_airport_5311","New Rochelle Amtrak Station","airport","TRUE","New Rochelle","base.us",,,40.913923,-73.782008,66,-5,"A","America/New_York"
"tt_airport_5312","Anoka County Blaine Airport","airport","TRUE","Anoka","base.us",,"KANE",45.1448889,-93.2101944,912,-6,"U","America/Chicago"
"tt_airport_5313","New Haven Rail Station","airport","TRUE","New Haven","base.us","ZVE",,41.298669,-72.925992,7,-5,"A","America/New_York"
"tt_airport_5314","Chicago Union Station","airport","TRUE","Chicago","base.us",,,41.8791966,-87.6388507,581,-6,"A","America/Chicago"
"tt_airport_5317","Bremerton National","airport","TRUE","Bremerton","base.us","PWT","KPWT",47.490244,-122.764814,444,-8,"A","America/Los_Angeles"
"tt_airport_5318","Spencer Muni","airport","TRUE","Spencer","base.us","SPW","KSPW",43.165527,-95.202805,1339,-6,"A","America/Chicago"
"tt_airport_5319","Jefferson City Memorial Airport","airport","TRUE","Jefferson City","base.us","JEF","KJEF",38.5912,-92.1561,549,-6,"A","America/Chicago"
"tt_airport_5320","Grand Canyon West Airport","airport","TRUE","Grand Canyon West","base.us","GCW",,35.5925,-113.4859,4825,-7,"U","America/Phoenix"
"tt_airport_5321","Boulder City Municipal Airport","airport","TRUE","Boulder City","base.us","BLD","KBVU",35.5651,-114.514,2201,-7,"U","America/Phoenix"
"tt_airport_5323","Glenview Amtrak Station","airport","TRUE","Glenview","base.us",,,42.074197,-87.805346,630,-6,"A","America/Chicago"
"tt_airport_5324","Baltimore Penn Station","airport","TRUE","Baltimore","base.us",,,39.307408,-76.615552,62,-5,"A","America/New_York"
"tt_airport_5328","Provincetown Muni","airport","TRUE","Provincetown","base.us","PVC","KPVC",42.071945,-70.22139,9,-5,"A","America/New_York"
"tt_airport_5329","Kenmore Air Harbor Seaplane Base","airport","TRUE","Seattle","base.us","LKE","KW55",47.629,-122.339,14,-8,"A","America/Los_Angeles"
"tt_airport_5352","Fullerton Municipal Airport","airport","TRUE","Fullerton","base.us","FUL","KFUL",33.521925,-117.584722,96,-8,"A","America/Los_Angeles"
"tt_airport_5353","Concord Rgnl","airport","TRUE","Concord","base.us",,"KJQF",35.387775,-80.709136,705,-5,"A","America/New_York"
"tt_airport_5365","Friedman Mem","airport","TRUE","Hailey","base.us","SUN","KSUN",43.504444,-114.296194,5320,-7,"A","America/Denver"
"tt_airport_5369","Mason City Municipal","airport","TRUE","Mason City","base.us","MCW","KMCW",43.2247,-93.4067,1243,-6,"A","America/Chicago"
"tt_airport_5389","Byron Airport","airport","TRUE","Byron","base.us",,,37.8284,-121.626,79,-8,"A","America/Los_Angeles"
"tt_airport_5409","Fortman Airport","airport","TRUE","St. Marys","base.us","1OH",,40.5553253,-84.3866186,885,-5,"U","America/New_York"
"tt_airport_5414","Pangborn Field","airport","TRUE","Wenatchee","base.us","EAT","KEAT",47.398,-120.206,1249,-8,"A","America/Los_Angeles"
"tt_airport_5420","Wittman Regional Airport","airport","TRUE","Oshkosh","base.us","OSH","KOSH",44.024983,-88.551336,790,-6,"A","America/Chicago"
"tt_airport_5425","Southwest Michigan Regional Airport","airport","TRUE","Benton Harbor","base.us","BEH",,42.1285833,-86.4285,643,-5,"A","America/New_York"
"tt_airport_5426","Waukesha County Airport","airport","TRUE","Waukesha","base.us","UES",,43.0410278,-88.2370556,911,-6,"A","America/Chicago"
"tt_airport_5436","Galt Field Airport","airport","TRUE","Greenwood","base.us","10C",,42.4028889,-88.3751111,875,-6,"U","America/Chicago"
"tt_airport_5437","Everglades Airpark","airport","TRUE","Everglades","base.us","X01",,25.8488611,-81.3902778,5,-5,"U","America/New_York"
"tt_airport_5466","Togiak Airport","airport","TRUE","Togiak Village","base.us","TOG","PATG",59.0528,-160.397,21,-9,"A","America/Anchorage"
"tt_airport_5467","Port Heiden Airport","airport","TRUE","Port Heiden","base.us","PTH","PAPH",56.9591,-158.633,95,-9,"A","America/Anchorage"
"tt_airport_5468","King Cove Airport","airport","TRUE","King Cove","base.us","KVC","PAVC",55.1163,-162.266,155,-9,"A","America/Anchorage"
"tt_airport_5469","New Stuyahok Airport","airport","TRUE","New Stuyahok","base.us","KNW","PANW",59.4499,-157.328,302,-9,"A","America/Anchorage"
"tt_airport_5470","Igiugig Airport","airport","TRUE","Igiugig","base.us","IGG","PAIG",59.324,-155.902,90,-9,"A","America/Anchorage"
