id,name,code,icao,city,country_id/id,provider_type_id/id,latitude,longitude,altitude,timezone_hour,tz,active
tt_destinations_15,Sultan Babullah,TTE,WAMT,Ternate,base.id,tt_base.tt_provider_type_1,0.831414,127.381486,49,9,Asia/Jayapura,1
tt_destinations_16,Bubung,LUW,WAMW,Luwuk,base.id,tt_base.tt_provider_type_1,-1.038919,122.771906,56,8,Asia/Makassar,1
tt_destinations_17,Pattimura,AMQ,WAPP,Ambon,base.id,tt_base.tt_provider_type_1,-3.710264,128.089136,33,9,Asia/Jayapura,1
tt_destinations_18,Fak Fak,FKQ,WASF,Fak Fak,base.id,tt_base.tt_provider_type_1,-2.920192,132.267031,462,9,Asia/Jayapura,1
tt_destinations_19,Kaimana,KNG,WASK,Kaimana,base.id,tt_base.tt_provider_type_1,-3.644517,133.695553,19,9,Asia/Jayapura,1
tt_destinations_20,Babo,BXB,WASO,Babo,base.id,tt_base.tt_provider_type_1,-2.532242,133.438894,10,9,Asia/Jayapura,1
tt_destinations_21,Rendani,MKW,WASR,Manokwari,base.id,tt_base.tt_provider_type_1,-0.891833,134.049183,23,9,Asia/Jayapura,1
tt_destinations_22,Jefman,SOQ,WASS,Sorong,base.id,tt_base.tt_provider_type_1,-0.926358,131.121194,10,9,Asia/Jayapura,1
tt_destinations_23,Sultan Syarif Kasim Ii,PKU,WIBB,Pekanbaru,base.id,tt_base.tt_provider_type_1,0.460786,101.444539,102,7,Asia/Jakarta,1
tt_destinations_24,Pinang Kampai,DUM,WIBD,Dumai,base.id,tt_base.tt_provider_type_1,1.609194,101.433558,55,7,Asia/Jakarta,1
tt_destinations_25,Soekarno Hatta Intl,CGK,WIII,Jakarta,base.id,tt_base.tt_provider_type_1,-6.125567,106.655897,34,7,Asia/Jakarta,1
tt_destinations_26,Binaka,GNS,WIMB,Gunung Sitoli,base.id,tt_base.tt_provider_type_1,1.166381,97.704681,20,7,Asia/Jakarta,1
tt_destinations_27,Aek Godang,AEG,WIME,Padang Sidempuan,base.id,tt_base.tt_provider_type_1,1.400103,99.430453,922,7,Asia/Jakarta,1
tt_destinations_28,Minangkabau International Airport,PDG,WIEE,Padang,base.id,tt_base.tt_provider_type_1,-0.874989,100.351881,9,7,Asia/Jakarta,1
tt_destinations_29,Polonia,MES,WIMM,Medan,base.id,tt_base.tt_provider_type_1,3.558056,98.671722,114,7,Asia/Jakarta,1
tt_destinations_30,Dr Ferdinand Lumban Tobing,FLZ,WIMS,Sibolga,base.id,tt_base.tt_provider_type_1,1.555944,98.888908,43,7,Asia/Jakarta,1
tt_destinations_31,Nanga Pinoh I,NPO,WIOG,Nangapinoh,base.id,tt_base.tt_provider_type_1,-0.348869,111.747606,123,7,Asia/Jakarta,1
tt_destinations_32,Rahadi Usman,KTG,WIOK,Ketapang,base.id,tt_base.tt_provider_type_1,-1.816639,109.963483,46,7,Asia/Jakarta,1
tt_destinations_33,Supadio,PNK,WIOO,Pontianak,base.id,tt_base.tt_provider_type_1,-0.150711,109.403892,10,7,Asia/Jakarta,1
tt_destinations_34,Sultan Thaha,DJB,WIPA,Jambi,base.id,tt_base.tt_provider_type_1,-1.638017,103.644378,82,7,Asia/Jakarta,1
tt_destinations_35,Fatmawati Soekarno,BKS,WIPL,Bengkulu,base.id,tt_base.tt_provider_type_1,-3.8637,102.339036,50,7,Asia/Jakarta,1
tt_destinations_36,Sultan Mahmud Badaruddin Ii,PLM,WIPP,Palembang,base.id,tt_base.tt_provider_type_1,-2.89825,104.699903,49,7,Asia/Jakarta,1
tt_destinations_37,Japura,RGT,WIPR,Rengat,base.id,tt_base.tt_provider_type_1,-0.352808,102.334917,62,7,Asia/Jakarta,1
tt_destinations_38,Lhok Sukon,LSX,WITL,Lhok Sukon,base.id,tt_base.tt_provider_type_1,5.069506,97.259192,28,7,Asia/Jakarta,1
tt_destinations_39,Sultan Iskandarmuda,BTJ,WITT,Banda Aceh,base.id,tt_base.tt_provider_type_1,5.523522,95.420372,65,7,Asia/Jakarta,1
tt_destinations_40,Andi Jemma,MXB,WAWM,Masamba,base.id,tt_base.tt_provider_type_1,-2.558044,120.324383,164,8,Asia/Makassar,1
tt_destinations_41,Soroako,SQR,WAWS,Soroako,base.id,tt_base.tt_provider_type_1,-2.531203,121.357639,1388,8,Asia/Makassar,1
tt_destinations_42,Pongtiku,TTR,WAWT,Makale,base.id,tt_base.tt_provider_type_1,-3.044736,119.821536,2884,8,Asia/Makassar,1
tt_destinations_43,Wolter Monginsidi,KDI,WAWW,Kendari,base.id,tt_base.tt_provider_type_1,-4.081608,122.418231,538,8,Asia/Makassar,1
tt_destinations_44,Maimun Saleh,SBG,WITB,Sabang,base.id,tt_base.tt_provider_type_1,5.874131,95.339672,393,7,Asia/Jakarta,1
tt_destinations_45,Cibeureum,TSY,WICM,Tasikmalaya,base.id,tt_base.tt_provider_type_1,-7.346603,108.246092,1148,7,Asia/Jakarta,1
tt_destinations_46,Abdul Rachman Saleh,MLG,WARA,Malang,base.id,tt_base.tt_provider_type_1,-7.926556,112.714514,1726,7,Asia/Jakarta,1
tt_destinations_47,Husein Sastranegara,BDO,WICC,Bandung,base.id,tt_base.tt_provider_type_1,-6.900625,107.576294,2436,7,Asia/Jakarta,1
tt_destinations_48,Penggung,CBN,WICD,Cirebon,base.id,tt_base.tt_provider_type_1,-6.756144,108.539672,89,7,Asia/Jakarta,1
tt_destinations_49,Adi Sutjipto,JOG,WARJ,Yogyakarta,base.id,tt_base.tt_provider_type_1,-7.788181,110.431758,350,7,Asia/Jakarta,1
tt_destinations_50,Tunggul Wulung,CXP,WIHL,Cilacap,base.id,tt_base.tt_provider_type_1,-7.645056,109.033911,69,7,Asia/Jakarta,1
tt_destinations_51,Pondok Cabe,PCB,WIHP,Jakarta,base.id,tt_base.tt_provider_type_1,-6.336964,106.764561,200,7,Asia/Jakarta,1
tt_destinations_52,Achmad Yani,SRG,WARS,Semarang,base.id,tt_base.tt_provider_type_1,-6.971447,110.374122,13,7,Asia/Jakarta,1
tt_destinations_53,Hang Nadim,BTH,WIDD,Batam,base.id,tt_base.tt_provider_type_1,1.121028,104.118753,126,7,Asia/Jakarta,1
tt_destinations_54,H As Hanandjoeddin,TJQ,WIOD,Tanjung Pandan,base.id,tt_base.tt_provider_type_1,-2.745722,107.754917,164,7,Asia/Jakarta,1
tt_destinations_55,Depati Amir,PGK,WIPK,Pangkal Pinang,base.id,tt_base.tt_provider_type_1,-2.1622,106.139064,109,7,Asia/Jakarta,1
tt_destinations_56,Kijang,TNJ,WIDN,Tanjung Pinang,base.id,tt_base.tt_provider_type_1,0.922683,104.532311,52,7,Asia/Jakarta,1
tt_destinations_57,Dabo,SIQ,WIDS,Singkep,base.id,tt_base.tt_provider_type_1,-0.479189,104.579283,95,7,Asia/Jakarta,1
tt_destinations_58,Syamsudin Noor,BDJ,WAOO,Banjarmasin,base.id,tt_base.tt_provider_type_1,-3.442356,114.762553,66,8,Asia/Makassar,1
tt_destinations_59,Batu Licin,BTW,WAOC,Batu Licin,base.id,tt_base.tt_provider_type_1,-3.412408,115.995136,3,8,Asia/Makassar,1
tt_destinations_60,Iskandar,PKN,WAOI,Pangkalan Bun,base.id,tt_base.tt_provider_type_1,-2.705197,111.673208,75,7,Asia/Jakarta,1
tt_destinations_61,Tjilik Riwut,PKY,WAOP,Palangkaraya,base.id,tt_base.tt_provider_type_1,-2.225128,113.942661,82,7,Asia/Jakarta,1
tt_destinations_62,Wai Oti,MOF,WATC,Maumere,base.id,tt_base.tt_provider_type_1,-8.640647,122.236889,115,8,Asia/Makassar,1
tt_destinations_63,H Hasan Aroeboesman,ENE,WATE,Ende,base.id,tt_base.tt_provider_type_1,-8.849294,121.660644,49,8,Asia/Makassar,1
tt_destinations_64,Satar Tacik,RTG,WATG,Ruteng,base.id,tt_base.tt_provider_type_1,-8.597011,120.477061,3510,8,Asia/Makassar,1
tt_destinations_65,El Tari,KOE,WATT,Kupang,base.id,tt_base.tt_provider_type_1,-10.171583,123.671136,335,8,Asia/Makassar,1
tt_destinations_66,Mutiara Ii,LBJ,WATO,Labuan Bajo,base.id,tt_base.tt_provider_type_1,-8.486656,119.88905,66,8,Asia/Makassar,1
tt_destinations_67,Sepinggan,BPN,WALL,Balikpapan,base.id,tt_base.tt_provider_type_1,-1.268272,116.894478,12,8,Asia/Makassar,1
tt_destinations_68,Juwata,TRK,WALR,Tarakan,base.id,tt_base.tt_provider_type_1,3.326694,117.565569,20,8,Asia/Makassar,1
tt_destinations_69,Temindung,SRI,WALS,Samarinda,base.id,tt_base.tt_provider_type_1,-0.484531,117.157111,33,8,Asia/Makassar,1
tt_destinations_70,Tanjung Santan,TSX,WALT,Tanjung Santan,base.id,tt_base.tt_provider_type_1,-0.093215,117.439292,121,8,Asia/Makassar,1
tt_destinations_71,Selaparang,AMI,WADA,Mataram,base.id,tt_base.tt_provider_type_1,-8.560708,116.094656,52,8,Asia/Makassar,1
tt_destinations_72,Muhammad Salahuddin,BMU,WADB,Bima,base.id,tt_base.tt_provider_type_1,-8.539647,118.687322,3,8,Asia/Makassar,1
tt_destinations_73,Mau Hau,WGP,WADW,Waingapu,base.id,tt_base.tt_provider_type_1,-9.669217,120.302006,33,8,Asia/Makassar,1
tt_destinations_74,Adi Sumarmo Wiryokusumo,SOC,WARQ,Solo City,base.id,tt_base.tt_provider_type_1,-7.516089,110.756892,421,7,Asia/Jakarta,1
tt_destinations_75,Bali Ngurah Rai,DPS,WADD,Denpasar,base.id,tt_base.tt_provider_type_1,-8.748169,115.167172,14,8,Asia/Makassar,1
tt_destinations_76,Sumbawa Besar Airport,SWQ,WADS,Sumbawa Island,base.id,tt_base.tt_provider_type_1,-8.489039,117.412119,16,8,Asia/Makassar,1
tt_destinations_77,Tambolaka Airport,TMC,WADT,Waikabubak-Sumba Island,base.id,tt_base.tt_provider_type_1,-9.409717,119.244494,161,8,Asia/Makassar,1
tt_destinations_78,Bokondini Airport,BUI,WAJB,Bokondini-Papua Island,base.id,tt_base.tt_provider_type_1,-3.58365,138.533,9104,9,Asia/Jayapura,1
tt_destinations_79,Senggeh Airport,SEH,WAJS,Senggeh-Papua Island,base.id,tt_base.tt_provider_type_1,-3.43333,140.817,914,9,Asia/Jayapura,1
tt_destinations_80,Tanjung Harapan Airport,TJS,WALG,Tanjung Selor-Borneo Island,base.id,tt_base.tt_provider_type_1,2.83641,117.374,10,8,Asia/Makassar,1
