id,name,code,provider_id/id,city_id/id,,
hotel_provider_code_quantum_117,Brisbane; AU,AU~4,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_541_33d27654,__export__.res_city_541_33d27654,__export__.res_city_541_33d27654
hotel_provider_code_quantum_118,Blue Mountain; AU,AU~3,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_119,Ayers Rock; AU,AU~2,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_120,Alice Springs; AU,AU~17,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_96,tt_city_code.rdx_city_AUS_96,tt_city_code.rdx_city_AUS_96
hotel_provider_code_quantum_121,Adelaide; AU,AU~1,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_553_019eb77e,__export__.res_city_553_019eb77e,__export__.res_city_553_019eb77e
hotel_provider_code_quantum_122,Port Macquaries; AU,AU~22,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_123,Sunshine Coast; AU,AU~15,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_124,Sydney; AU,AU~16,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_538_3b8d762f,tt_city_code.rdx_city_CAN_28,__export__.res_city_538_3b8d762f
hotel_provider_code_quantum_125,Townsville; AU,AU~19,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_76,tt_city_code.rdx_city_AUS_76,tt_city_code.rdx_city_AUS_76
hotel_provider_code_quantum_126,Vines; AU,AU~20,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_127,Pilbara; AU,AU~27,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_128,Gascoyne; AU,AU~28,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_129,Illawarra; AU,AU~29,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_130,Outback NSW; AU,AU~30,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_131,Port Stephens; AU,AU~31,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_132,Murray Outback; AU,AU~32,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_133,Riverina; AU,AU~33,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_134,The Murray; AU,AU~34,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_135,Gladstone; AU,AU~35,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_157,tt_city_code.rdx_city_USA_4098,tt_city_code.rdx_city_AUS_157
hotel_provider_code_quantum_136,Mackay; AU,AU~36,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_44,tt_city_code.rdx_city_AUS_44,tt_city_code.rdx_city_AUS_44
hotel_provider_code_quantum_137,Fraser Coast; AU,AU~37,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_138,Toowoomba; AU,AU~38,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_117,tt_city_code.rdx_city_AUS_117,tt_city_code.rdx_city_AUS_117
hotel_provider_code_quantum_139,Katherine Region; AU,AU~39,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_140,Coral Coast; AU,AU~40,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_141,Margaret River/SW; AU,AU~41,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_142,Eyre Peninsula; AU,AU~42,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_143,Mornington Peninsula; AU,AU~43,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_144,Bellarine Peninsula; AU,AU~44,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_145,Fleurieu Peninsula; AU,AU~45,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_146,Limestone Coast; AU,AU~46,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_147,Yarra Valley; AU,AU~47,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_722_0689ad97,__export__.res_city_722_0689ad97,__export__.res_city_722_0689ad97
hotel_provider_code_quantum_148,Gippsland East; AU,AU~48,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_149,Grampians; AU,AU~49,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_150,Coffs/Mid North; AU,AU~50,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_151,South Coast; AU,AU~51,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_152,Snowy Mountains; AU,AU~52,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_153,Bundaberg; AU,AU~53,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_85,tt_city_code.rdx_city_AUS_85,tt_city_code.rdx_city_AUS_85
hotel_provider_code_quantum_154,Rockhampton; AU,AU~54,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_89,tt_city_code.rdx_city_AUS_89,tt_city_code.rdx_city_AUS_89
hotel_provider_code_quantum_155,Esperance; AU,AU~55,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_19,tt_city_code.rdx_city_AUS_19,tt_city_code.rdx_city_AUS_19
hotel_provider_code_quantum_156,Regional Northern Territory; AU,AU~56,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_157,Central Coast; AU,AU~57,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_78,tt_city_code.rdx_city_AUS_78,tt_city_code.rdx_city_AUS_78
hotel_provider_code_quantum_158,Central NSW; AU,AU~58,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_159,Barossa; AU,AU~59,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_160,Kangaroo Island; AU,AU~60,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_161,Kings Canyon; AU,AU~61,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_162,Wollongong; AU,AU~62,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_142,tt_city_code.rdx_city_AUS_142,tt_city_code.rdx_city_AUS_142
hotel_provider_code_quantum_163,Broken Hill; AU,AU~63,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_211,tt_city_code.rdx_city_AUS_211,tt_city_code.rdx_city_AUS_211
hotel_provider_code_quantum_164,Kempsey; AU,AU~64,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_133,tt_city_code.rdx_city_AUS_133,tt_city_code.rdx_city_AUS_133
hotel_provider_code_quantum_165,Merimbula; AU,AU~65,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_176,tt_city_code.rdx_city_AUS_176,tt_city_code.rdx_city_AUS_176
hotel_provider_code_quantum_166,Narrabri; AU,AU~66,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_74,tt_city_code.rdx_city_AUS_74,tt_city_code.rdx_city_AUS_74
